Part #,Description,UPC,Base Price,Discounted Base, Map ,MSRP,Case Qty
SPC-W12,"*** SERIALIZED*** Universal wedge style 12"" loaded subwoofer enclosure",8.50039E+11,285.2,242.42,529,709,0
SPK-V10,"*** SERIALIZED*** SPK Series loaded vented 10"" subwoofer enclosure",8.50039E+11,328.47,279.2,579,779,0
SPK-V12,"*** SERIALIZED *** SPK Series loaded vented 12"" subwoofer enclosure",8.50039E+11,361.12,306.95,629,859,0
SPK-V8,"*** SERIALIZED *** SPK Series loaded vented 8"" subwoofer enclosure",8.50039E+11,250.77,213.15,479,639,0
The Epicenter (Black),***Serialized*** AudioControl Bass Restoration Processor,8.55814E+11,146.85,124.82,169,239,4
TXFBB12,"***Serialized***2021 Ford Bronco Swing-gate 12"" Sealed loaded subwoofer enclosure",6.09099E+11,440.31,374.26,629,799,1
TXFF15D10,"***SERIALIZED***Dual 10"" AC SPC subwoofer Sealed Loaded enclosure for 2015-2023 Ford F Series",6.09099E+11,661.85,562.57,1199,1299,1
TXGM14D10,"***Serialized***Dual 10"" AC SPC subwoofer Sealed Loaded enclosure 2014-2018 GM Truck (Silverado)",6.09099E+11,661.85,562.57,1199,1299,1
TXGM19D10,"*** SERIALIZED *** Dual 10"" AC SPK subwoofer loaded enclosure for 2019+",6.09099E+11,732.45,622.58,1299,1399,1
TXJTD8,"***Serialized*** Jeep Gladiator under-seat dual 8"" loaded enclosure",6.09099E+11,541.48,460.26,849,999,1
TXJWB12,***Serialized*** Jeep Wrangler Swing Gate,6.09099E+11,440.3,374.26,629,799,1
TXRM02D10,"Dual 10"" AC SPC subwoofer Loaded enclosure for Ram 02-18 ram Quad cab 1500",6.09099E+11,661.85,562.57,1199,1299,0
TXTRB10,**SERIALIZATION ITEM** Universal Underseat Truck,6.09099E+11,159.67,135.72,579,649,1
TXTRB10BB,"***Serialized*** Bass Booster for TXTRB10 Loaded 10""",6.09099E+11,74.88,63.65,209,299,0
AAI-GM12,AUX AUDIO INPUT GM 12 PIN,606523105743,44.33,37.68,0,119,40
AAI-GM9,AUX AUDIO INPUT FOR GM 9 PIN,606523105712,44.33,37.68,0,119,40
AAI-HD3,HONDA AUDIO INPUT INTERFACE FOR SELECT 2003-2011 WITH 14PIN RADIO CONNECTOR,609098813419,80.4,68.34,0,219,24
ADD-HON20,HONDA 20 PIN TEE HARNESS TO 18 PIN CJA571 @500,606523107228,7.12,6.05,0,19,0
ANC-CH01,ANC BYPASS HARNESS FOR SELECT CHRYSLER VEHICLES W ANC MODULES WHEN INSTALLING AP4-CH41,609098831680,20.74,17.63,0,59,200
AOEM-CHR2,2002 & UP CHRYSLER ADD AN AMP,606523105873,61.96,52.67,0,159,4
AOEM-CHR3,2007 & UP CHRYSLER ADD AN AMP INTERFACE,606523107556,48.33,41.08,0,129,4
AOEM-FRD24,FORD/LINCOLN CABLE LIMITED CAR KIT,606523107402,48.33,41.08,0,129,4
AOEM-GM1416,2007 GM TRUCK AND SUV ADD AN AMP,606523106832,48.33,41.08,0,129,4
AOEM-GM1416A,2007 HHR 11 BIT GMLAN ADD AN AMP,606523107426,69.5,59.08,0,179,4
AOEM-GM21A,99-01 GM SUV KIT,606523105354,48.33,41.08,0,129,4
AOEM-GM24,2003 GM CLASSII AMP INTEGRATION KIT,606523105767,48.33,41.08,0,129,4
AOEM-HON17,2007 AND UP HONDA 17 PIN CONNECTOR ADD AN AMP INTERFACE,606523107198,58.79,49.97,0,149,4
AOEM-HON20,1998-2007 AND UP HONDA 20 PIN CONNECTOR ADD AN AMP INTERFACE,606523107204,48.33,41.08,0,129,4
AOEM-MAZ2,ADD AN AMP KIT MAZDA 2001+ WITH 24 PIN CONNECTOR. NOT FOR CX7 OR CX9 W/BOSE,606523107457,48.33,41.08,0,129,4
AP4-CH21,***Serialized*** AmpPRO for select 2008-2015 Chrysler (medium speed) vehicles. Audio Output Interface for Vehicles with Digital Audio System,609098819961,291.02,247.37,419,499,40
AP4-CH41(R.2),***Serialized*** AmpPRO 2013-2019 Chrysler Vehicles Works w/Non Amplified and Amplified,609098817011,291.02,247.37,419,499,32
AP4-CH42,***Serialized*** AmpPRO 2020-2023 Chrysler Vehicles Works w/Non Amplified and Amplified ,609098906401,291.02,247.37,419,499,32
AP4-FD11,***Serialized*** AmpPRO for Select Ford and Lincoln vehicles with 24-pin 16-pin and 8-pin connectors Audio output interface for vehicles,609098826082,291.02,247.37,419,499,32
AP4-FD21,***Serialized*** AmpPRO for Select 2010-2017 Ford (Sony) Vehicles. Audio Output Interface for Vehicles with Digital Audio System.,609098817042,291.02,247.37,419,499,32
AP4-FD31,***Serialized*** Amplifier Integration Interface for Select 2018+ Ford vehicles with A2B Amplified System  ,609098900409,331.3,281.61,479,549,32
AP4-GM61,***Serialized*** AmpPRO for Select GM vehicles with 20-pin and 8-pin connectors (MOST50) Audio output interface for vehicles,609098826105,331.3,281.61,479,549,32
AP4-GM71,***Serialized***Amplifier Integration Interface for Select 2018+ GM vehicles with AVB Ethernet Amplified System ,609098903509,331.3,281.61,479,549,32
AP4-TY11,***Serialized*** AmpPRO for Select Toyota and Lexus vehicles with two 20-pin connectors Audio Output interface for vehicles with a digital audio system,609098826099,291.02,247.37,419,499,32
AP4-TY12,***Serialized*** AmpPRO for Select Toyota and Lexus vehicles with 28-pin 10-pin and 6-pin connectors Audio Output interface for vehicles,609098826112,291.02,247.37,419,499,32
AP4-TY13,***Serialized*** AmpPRO for Select Toyota and Lexus vehicles with 24-pin and 30-pin connectors Audio output interface for vehicles,609098828291,291.02,247.37,419,499,32
AP4-TY14,"***Serialized*** AmpPRO for Select Toyota and Lexus vehicles 2021-2024, Audio output interface for vehicles",609098907330,291.02,247.37,419,499,32
APA-TOS1,TOSLINK FIBER OPTICAL OUTPUT ADD-ON MODULE FOR AmpPRO FOR USE WITH AP4 AND AP5,609098823173,44.33,37.68,0,119,300
APH-CH01,18in Speaker Connection Harness for Select Chrysler Vehicles for use with AP4-CH21 AP4-CH31 or AP4-CH41,609098827416,45.6,38.76,0,109,100
APH-CH03,"18"" SPEAKER CONNECTION HARNESS ANC DEACTIVATION FOR CHRYLSER.   100 per case.  50 per inner",609098833530,34.79,29.57,0,89,100
APH-FD01,10ft. Speaker Connection Harness for Select Ford Vehicles For use with AP4-FD11 and AP4-FD21,609098827386,68.45,58.18,0,159,20
APH-FD02,SPEAKER CONNECTION HARNESS FOR USE WITH SELECT FORD VEHICLES WITH B&O AMPLIFIED AUDIO SYSTEMS,609098831376,32.33,27.48,0,79,100
APH-GM02,SPEAKER CONNECTION HARNESS FOR SELECT GM VEHICLES USE WITH AmpPRO.    50 per case,609098828420,45.6,38.76,0,109,50
APH-TY01,SPEAKER CONNECTION HARNESS FOR TOYOTA AND LEXUS VEHICLES,609098828482,45.6,38.76,0,109,75
APH-TY02,SPEAKER CONNECTION HARNESS FOR TOYOTA AND LEXUS VEHICLES,609098828499,45.6,38.76,0,109,60
APH-TY03,SPEAKER CONNECTION HARNESS FOR TOYOTA AND LEXUS VEHICLES,609098828505,45.6,38.76,0,109,100
APH-TY04,SPEAKER CONNECTION HARNESS FOR TOYOTA AND LEXUS VEHICLES,609098828512,45.6,38.76,0,109,60
APH-TY-KIT,KIT INCLUDES ONE EACH OF: APH-TY01 APH-TY02 APH-TY03 APH-TY04,609098832335,51.71,43.95,0,119,0
APSUB-CH21,***Serialized*** Subwoofer Amplifier Integration Interface for Select 2008-2015 Chrysler Dodge Jeep and RAM vehicles with amplified sound,609098834155,160.89,136.76,239,329,32
APSUB-CH41,***Serialized*** Subwoofer Amplifier Integration Interface for Select 2013-2019 Chrysler Dodge Jeep and RAM vehicles with amplified sound,609098834162,160.89,136.76,239,329,32
APSUB-CH42,***Serialized*** Subwoofer Amplifier Integration Interface for Select 2020-2023 Chrysler Dodge Jeep and RAM vehicles with amplified sound ,609098906487,160.89,136.76,239,329,32
APSUB-FD21,"***Serialized*** Subwoofer Amplifier Integration Interface for Select 2010-2017 Ford vehicles with 8.4"" Radio and Factory Sony Amplified System",609098834179,160.89,136.76,239,329,32
APSUB-GM61,***Serialized*** Subwoofer Amplifier Integration Interface for Select GM vehicles with 20-pin and 8-pin connectors (MOST50) Audio output interface for,609098834186,193.38,164.37,299,379,32
APSUB-TY12,***Serialized*** Subwoofer Amplifier Integration Interface for Select 2014+ Toyota and Lexus vehicles with Premium Amplified Sound Systems,609098834193,160.89,136.76,239,329,32
APSUB-TY13,Subwoofer Amplifier Integration,609098836319,160.89,136.76,239,329,32
AVS21,2 A/V INPUTS 1 A/V OUTPUT RCA SWITCHER,609098817257,57.1,48.54,0,149,100
BB-1PR,PAC BASS BLCKR 0-300HZ 4OHM 0-150HZ 8 OHM (2)BLUE,606523108324,13.85,11.77,0,29,100
BB-2PR,PAC BASS BLOCKER 0-600HZ 4OHM 0-300HZ 8 OHM (2) GREEN,606523108331,13.96,11.87,0,29,100
BB-3PR,PAC BASS BLCKR 0-800HZ 4OHM 0-400HZ 8OHM (2) YELLOW,606523108348,12.56,10.68,0,29,100
BB-4PR,PAC BASS BLOCKER 0-1.2KHZ 4OHM 0-600HZ 8OHM (2) ORANGE,606523108355,10.56,8.98,0,19,100
BB-5PR,PAC BASS BLOCKER 0-2.8KHZ 4OHM 0-1.4KHZ 8OHM (2) RED,606523108362,10.56,8.98,0,19,100
BB-6PR,PAC BASS BLOCKER 0-5.6KHZ 4OHM 0-2.8KHZ 8 OHM (2) BLACK,606523108379,10.56,8.98,0,19,100
BCI-CH21,BACK UP CAMERA INTERFACE FOR SELECT CHRYSLER VEHICLES,609098817141,303.89,258.31,0,799,10
BCI-CH41,BACK UP CAMERA INTERFACE BACK UP CAMERA INTERFACE FOR SELECT CHRYSLER VEHICLES (V2),609098815666,289.31,245.91,0,759,10
BCI-GM31,BACK UP CAMERA INTERFACE FOR SELECT GM VEHICLES,609098827195,303.89,258.31,0,799,4
BT-SWC-NI1,Bluetooth Steering Wheel Control Retention Harness for Select Nissan Vehicles Use when replacing the radio to use BT SWCs with,609098824958,24.23,20.6,0,59,125
C2R-AUDI,RADIO REPLACEMENT AUDI,606523108744,98.12,83.4,0,299,4
C2R-CHY4,RADIO REPLACEMENT             16 per case,606523107716,98.12,83.4,0,299,16
C2R-CHYNA,CHRYSLER CAN BUS VEHICLES RADIO BASE RADIO REPLACEMENT INTERFACE,606523106801,59.65,50.7,0,179,4
C2R-FRD1,RADIO REPLACEMENT 2007-08 FORD L/M MS CAN BUS VEHICLES,606523107266,98.12,83.4,0,299,16
C2R-GM11,RADIO REPLACEMENT FOR 2006-7 GM 11 BIT VEHICLES NON ONSTAR,606523107037,90.17,76.64,0,279,16
C2R-GM11B,RADIO REPLACEMENT 2004-7 GM 11 BIT VEHICLES WITH BLUE 24 PIN PLUG NON ONSTAR,606523107167,90.17,76.64,0,279,16
C2R-GM29,RADIO REPLACEMENT FOR 2007+ GM 29 BIT VEHICLES NON ONSTAR,606523107020,90.17,76.64,0,279,16
C2R-VW2,RADIO REPLACEMENT VW CAN BUS VEHICLES. DIRECT CONNECT TO SWI,606523108836,98.12,83.4,0,299,4
CAM-FD21,OEM reverse camera retention harness for select Ford vehicles for use with RadioPRO interface For vehicles with 54-pin connector,609098828123,17.1,14.54,0,39,200
CAM-GM51,OE reverse camera retention harness for use when replacing the radio. Can be used with LCGM51,609098825146,16.8,14.28,0,39,200
CAM-NI1,Provides Plug and Play Connection for Adding a Back-Up Camera to the OEM 4.3 Inch Radio Compatible with Select Nissan Vehicles,609098825993,38.96,33.12,0,99,125
CAM-TY11,TOYOTA REVERSE CAMERA HARNESS FOR 6.1 TOUCHSCREEN RADIOS,609098814423,38.96,33.12,0,99,200
CAM-TY12,REVERSE CAMERA HARNESS FOR SELECT TOYOTA AND SCION EQUIPPED WITH A 6.1 TOUCHSCREEN RADIOS,609098818469,38.96,33.12,0,99,200
CH-12PWRH,Ram/Jeep Accessory OE power outlet t-harness adapter,609098836562,19.77,16.8,0,49,100
CH1A-RSX,***Serialized*** radio replacement interface for Select Chrysler Dodge Jeep Vehicles,609098829069,144.45,122.78,259,349,16
CHYRVD,REAR SCREEN & VES DVD RETENTION CABLE FOR CHRYSLER/DODGE/JEEP,606523108966,29.08,24.72,0,79,100
CP1-FRD1,CANPRO P&P harness for Select Ford Vehicles 8-Pin Connector in Steering Column,609098902014,32.43,27.57,0,79,0
CP1-FRD2,CANPRO P&P harness for Select Ford Vehicles 24-Pin Connector at OBD2 Gateway Module,609098902113,32.43,27.57,0,79,100
CP1-FRD3,CANPRO P&P harness for Select Ford Vehicles 12-Pin Connector in Steering Column,609098902595,33.97,28.87,0,79,0
CP1-S,Universal CANbus interface,609098901475,64.86,55.13,0,149,0
CP1-S-FRD1,CANPRO interface W/ P&P harness for Select Ford Vehicles 8-Pin Connector in Steering Column,- None -,101.92,86.63,0,239,0
CP1-S-FRD2,CANPRO interface W/ P&P harness for Select Ford Vehicles 24-Pin Connector at OBD2 Gateway Module,- None -,97.3,82.71,0,229,0
CP1-S-TSL1,"CANPRO Interface Bundle w/ Plug & Play harness for 2019-2021 Tesla Model 3, & Y 26-Pin Connector at Back of Center Console",- None -,96.15,81.73,0,239,0
CP1-TSL1,"CANPRO P&P harness for 2019-2021 Tesla Model 3, & Y 26-Pin Connector at Back of Center Console",609098901499,32.43,27.57,0,79,100
CSS12,POWER LINE FILTER 12 VOLT 12 AMP,606523103916,17.14,14.57,0,39,140
GM1A-R,***Serialized*** RadioPRO Advanced Radio installation Adapter for GM Class-2 Vehicles. Retains Factory amplified systems and provides internal,609098826976,72.2,61.37,149,249,72
GM1A-RS,***Serialized*** RadioPRO Advanced Radio installation Adapter for GM Class-2 Vehicles. Retains Chimes Steering wheel controls and factory,609098826983,130.88,111.25,259,349,32
GM1A-RST,***Serialized*** RadioPRO Advanced Radio installation Adapter for GM Class 2 vehicles Retains Chimes OnStar Steering wheel controls and factory,609098826945,154.5,131.33,309,399,32
GM1A-RT,***Serialized*** RadioPRO Advanced Radio installation Adapter for GM Class 2 vehicles. Retains Chimes OnStar and factory amplified systems,609098826952,127.53,108.4,259,349,32
GM1A-RX,***Serialized*** RadioPRO Advanced Radio installation Adapter for GM Class-2 Vehicles. Retains chimes Factory amplified,609098826969,86.25,73.31,149,209,32
GM3A-RSTX,***Serialized*** radio replacement interface with Onstar retention for GM LAN 29-BIT vehicles,609098829076,174.49,148.32,309,399,16
GM6A-RST,*** SERIALIZED ***RadioPRO Advanced for GM - retain OnStar & with (or without) Bose (MOST50) Support ,609098905169,184.06,156.45,349,439,16
GMRVD,2007 GM SUV REAR VIDEO RETENTION CABLE,606523107013,32.72,27.81,0,89,25
GMRVD2,REAR VIDEO RETENTION CABLE USE W/ RP5-GM32 OR ADD MONITORS TO THE FACTORY RADIO,606523109369,32.72,27.81,0,89,25
HDK001X,RADIOPRO KIT RADIO REPLACEMENT INTERFACE WITH SWC RETENTION FOR HARLEY DAVIDSON,609098817660,101.09,85.93,0,249,4
HDMI-USB-CBL,3 FOOT EXTENSION CABLE,609098817134,29.08,24.72,0,79,50
IGN-3,Phantom Ignition Module for CAN-Bus and start-stop vehicles,609098829359,20.44,17.37,0,49,100
IR-X,INFRARED REMOTE EXTENDER,606523105231,27.09,23.03,0,69,100
JK11-SBSH1,Jeep Wrangler JK 2007-2018 speaker adapter bundle kit,609098904179,25.91,22.02,0,59,0
LC-1,REMOTE LEVEL CONTROL,606523104449,8.6,7.31,0,19,100
LC-2,HIGH/LOW VOLUME CONTROL,606523104517,22.46,19.09,0,49,100
LCCH11,RADIO REPLACEMENT INTERFACE FOR SELECT CHRYSLER VEHICLES,609098818063,65.96,56.07,0,189,100
LCCH21,RADIO REPLACEMENT INTERFACE FOR SELECT CHRYSLER VEHICLES,609098818070,65.96,56.07,0,189,100
LCGM24,RADIO REPLACEMENT FOR GM CLASS II VEHICLES CHIME RETENTION NON AMPLIFIED,606523109482,46.3,39.36,0,129,100
LCGM29,LOW COST RADIO REPLACEMENT CHIME RETENTION GM LAN 29BIT VEHICLES,609098814102,46.3,39.36,0,129,100
LCGM51,LOW-COST RADIO REPLACEMENT INTERFACE WITH CHIME RETENTION,609098815352,46.3,39.36,0,129,100
LCGM52,Loc Cost Radio Replacement Interface with Chime Retention GMC SIERRA CHEVROLET SILVERADO WITH 20 PIN AND 20 PIN HARNESSES,609098825016,46.3,39.36,0,129,100
LD-10,LINE DRIVER (10X),606523108195,38.93,33.09,0,89,100
LP3-2,LOCPRO 2 CHANNEL ADJUSTABLE HIGH POWER LOC WITH REMOVABLE HARNESS,606523109413,17.96,15.27,0,39,50
LP3-4,LOCPRO 4 CHANNEL ADJUSTABLE HIGH POWER LOC WITH REMOVABLE HARNESS,606523109420,31.46,26.74,0,69,50
LP7-2,LOCPRO 2 CHANNEL ADJUSTABLE HIGH POWER DIFFERENTIAL LOC W/ REMOVABLE HARNESS AND TURN ON,606523109451,26.96,22.92,0,59,50
LP7-2R,L.O.C. PRO 2CH HIGH POWER LINE OUTPUT CONVERTER WITH REMOTE LEVEL CONTROL,609098814218,41.98,35.68,0,99,50
LP7-4,LOCPRO 4 CHANNEL ADJUSTABLE HIGH POWER DIFFERENTIAL LOC/W REMOVABLE HARNESS AND TURN ON,606523109468,41.98,35.68,0,99,50
LPA-2.2,***Serialized*** 2 CH LOCPRO Advanced Line Output Converter LOCPRO ADVANCED LPA-2.2,609098834858,50.76,43.15,119,159,40
LPA-2.4,***Serialized*** 4Ch LOCPRO Advanced Line Output Con LOCPRO ADVANCED LPA-2.4,609098834803,52.59,44.7,139,179,40
LPA-E.4,***Serialized*** 4 Ch LOCPRO Advanced Expert Line,609098834827,74.2,63.07,159,209,40
LPA-REM,Bass Remote Control for LPA-2.2 &,609098834810,12.26,10.42,0,29,250
LPGL-2,LOCPRO UNIVERSAL GROUND LOOP ISOLATOR REVERSABLE HARNESS FOR USE AT RADIO OR AMPLIFIER OR 3.5MM.           50 Per Case,606523109475,23.56,20.03,0,59,50
LPHCH21,"Vehicle Specifc Audio Integration T-Harness 2007-2020 Non-Amplified Chrysler, Dodge, Jeep 22-Pin Radio Connector",609098900454,46.95,39.91,0,109,100
LPHCH41,"Vehicle Specific Audio Integration T-Harness 2013+ Non-Amplified Chrysler, Dodge, Jeep 52-Pin Radio Connector",609098837774,54.74,46.53,0,129,0
LPHCH42,Vehicle Specific Audio Integration T-Harness 2021+ Non-Amplified Chrysler with UConnect 5 12-Pin Radio Connector,609098902335,45.15,38.38,0,109,0
LPHEXT17,LPH Speaker Harness Extension Speaker High-Level Input & Output  17 Feet in Length Can be used with all LPH harnesses minus TSL01 ,609098902199,60.72,51.61,0,139,25
LPHFD21,Vehicle Specific Audio Integration T-Harness 2011-2020 Non-Amplified Ford 24-Pin Radio Connector,609098900461,46.95,39.91,0,109,0
LPHFD31,Vehicle Specific Audio Integration T-Harness 2018-2022 Non-Amplified Ford 32-Pin Connector,609098900478,46.95,39.91,0,109,100
LPHGM51,Vehicle Specific Audio Integration T-Harness 2014-2019 Non-Amplified GM Vehicles IO5 / IO6 Infotainment System ,609098900485,46.95,39.91,0,109,100
LPHGM52,Vehicle Specific Audio Integration T-Harness 2016-2019 Non-Amplified GM Vehicles  IOA/IOB Infotainment System,609098900492,46.95,39.91,0,109,100
LPHGM71,Vehicle Specific Audio Integration T-Harness 2019+ Non-Amplified GM Vehicles  IOR Infotainment System,609098837781,64.17,54.54,0,149,0
LPHGM72,Vehicle Specific Audio Integration T-Harness 2019-2022 IOS / IOT Non-Amplified GM Vehicles 28 & 28 - Pin Radio Connectors,609098902359,63.81,54.24,0,149,75
LPHHD02,Vehicle Specific Audio Integration T-Harness 2006-2011 Non-Amplified Honda  17-Pin Radio Connector,609098901390,45.15,38.38,0,109,0
LPHHD03,"Vehicle Specific Audio Integration T-Harness 2008-2021 Non-Amplified Honda, Acura  24-Pin Radio Connector",609098901406,45.15,38.38,0,109,0
